iter	RMSE
0	15.21242906
1	15.11814079
2	15.02047491
3	14.91694382
4	14.81848126
5	14.73313353
6	14.63726493
7	14.54270546
8	14.45652639
9	14.35643251
10	14.25745948
11	14.17192292
12	14.07845347
13	13.99003452
14	13.8993527
15	13.80506053
16	13.71666102
17	13.62441618
18	13.53691588
19	13.45250419
20	13.37177818
21	13.29068026
22	13.20426002
23	13.11851776
24	13.03606044
25	12.95709248
26	12.87592927
27	12.80085307
28	12.71971737
29	12.64178272
30	12.5655382
31	12.48788838
32	12.41212066
33	12.33200984
34	12.25280135
35	12.17590924
36	12.09907398
37	12.02849356
38	11.95559539
39	11.88892312
40	11.82302742
41	11.75563131
42	11.68381603
43	11.61747514
44	11.55782035
45	11.4898194
46	11.4251009
47	11.36339636
48	11.30064901
49	11.23642655
50	11.17340888
51	11.11019602
52	11.05355559
53	10.99241042
54	10.92858227
55	10.86340425
56	10.80234991
57	10.74124708
58	10.68504604
59	10.63276556
60	10.57247313
61	10.51364121
62	10.46051721
63	10.40181887
64	10.34482737
65	10.28951286
66	10.23243985
67	10.18124159
68	10.12929077
69	10.07267001
70	10.01744306
71	9.967312793
72	9.918529665
73	9.868833081
74	9.817861715
75	9.772144869
76	9.724865005
77	9.678848785
78	9.631848313
79	9.584308361
80	9.539037538
81	9.497062854
82	9.4516803
83	9.409100955
84	9.363874284
85	9.326676007
86	9.281824215
87	9.239236277
88	9.201561253
89	9.159490211
90	9.124895524
91	9.083097521
92	9.039806345
93	9.001693236
94	8.963315426
95	8.923225732
96	8.883641052
97	8.845794703
98	8.805908212
99	8.766677129
100	8.726708918
101	8.688264755
102	8.65625459
103	8.618458236
104	8.581867682
105	8.547051577
106	8.511760594
107	8.478454984
108	8.444261825
109	8.410523735
110	8.37528657
111	8.34217117
112	8.307438903
113	8.275785001
114	8.245486669
115	8.217730469
116	8.185653849
117	8.157820111
118	8.124573423
119	8.093961523
120	8.065935564
121	8.036319861
122	8.008147621
123	7.978202516
124	7.949129863
125	7.920232432
126	7.890722652
127	7.862294293
128	7.832887841
129	7.807631868
130	7.779027284
131	7.753954787
132	7.725201358
133	7.700530583
134	7.677548592
135	7.650084421
136	7.625255184
137	7.604155081
138	7.58263872
139	7.561043632
140	7.536913442
141	7.513854626
142	7.488503855
143	7.465834812
144	7.444332591
145	7.420795984
146	7.398621755
147	7.378146953
148	7.358469151
149	7.337536104
150	7.320101489
151	7.297863468
152	7.276977388
153	7.257827053
154	7.237018231
155	7.217271234
156	7.197272279
157	7.174985631
158	7.153856296
159	7.132797556
160	7.11324319
161	7.092347219
162	7.074319303
163	7.05874897
164	7.041195525
165	7.020375704
166	7.004817901
167	6.985037035
168	6.964602662
169	6.949089568
170	6.931674081
171	6.913202545
172	6.89592925
173	6.878693161
174	6.861556222
175	6.844210722
176	6.827500515
177	6.809739311
178	6.79200269
179	6.776077575
180	6.75773376
181	6.743682328
182	6.727927694
183	6.711318503
184	6.697110951
185	6.682152179
186	6.668654396
187	6.654281402
188	6.640373256
189	6.626488271
190	6.612671289
191	6.597485616
192	6.582531986
193	6.570477942
194	6.556600088
195	6.543573633
196	6.531210974
197	6.5198108
198	6.506307886
199	6.492608258
200	6.480594893
201	6.469834948
202	6.458889029
203	6.447209072
204	6.433228314
205	6.422634037
206	6.412183565
207	6.401511824
208	6.389115523
209	6.378065746
210	6.365690117
211	6.353435239
212	6.342341501
213	6.331469064
214	6.319380999
215	6.308711914
216	6.299809429
217	6.28984386
218	6.278789678
219	6.26626034
220	6.256169384
221	6.245599484
222	6.235448267
223	6.225160949
224	6.214146521
225	6.203117757
226	6.193472853
227	6.183091175
228	6.172379327
229	6.163936496
230	6.156680585
231	6.148255537
232	6.140996909
233	6.130931333
234	6.121686306
235	6.111447806
236	6.103622484
237	6.095002034
238	6.0844297
239	6.075771578
240	6.068028173
241	6.060696195
242	6.053376597
243	6.045232422
244	6.038372294
245	6.031020679
246	6.023513399
247	6.01545301
248	6.00771704
249	6.000308421
250	5.992788311
251	5.985836518
252	5.977637065
253	5.969187957
254	5.961717715
255	5.954499957
256	5.948555767
257	5.940830442
258	5.933574434
259	5.927051138
260	5.919555403
261	5.912768975
262	5.906928387
263	5.90252144
264	5.895209982
265	5.887803839
266	5.880326404
267	5.874020069
268	5.86767747
269	5.861866961
270	5.855864227
271	5.849936143
272	5.842850609
273	5.837334116
274	5.830786164
275	5.825481951
276	5.821441693
277	5.815906978
278	5.810061082
279	5.804509596
280	5.798277807
281	5.79279566
282	5.786683896
283	5.780601305
284	5.774357674
285	5.769476157
286	5.764983859
287	5.760872117
288	5.75622344
289	5.751140413
290	5.745786311
291	5.741588064
292	5.736669701
293	5.731239529
294	5.72440012
295	5.718452097
296	5.713404036
297	5.707212038
298	5.701307787
299	5.69631298
300	5.692216357
301	5.687598861
302	5.682204389
303	5.676476103
304	5.671954848
305	5.667539409
306	5.66286134
307	5.658758239
308	5.654695457
309	5.650865805
310	5.645980624
311	5.64167747
312	5.637074805
313	5.6323032
314	5.628809695
315	5.625379737
316	5.620797904
317	5.616920009
318	5.612827249
319	5.608564386
320	5.60419871
321	5.598745871
322	5.593893492
323	5.589805656
324	5.585927866
325	5.582217105
326	5.579144986
327	5.575250024
328	5.570431426
329	5.567333127
330	5.563183932
331	5.559068569
332	5.554447463
333	5.551104166
334	5.548772982
335	5.544893936
336	5.542459914
337	5.539514964
338	5.536503252
339	5.53309798
340	5.529210006
341	5.525359891
342	5.522207924
343	5.517977044
344	5.515475021
345	5.512416526
346	5.508360901
347	5.506367379
348	5.502213208
349	5.498820218
350	5.494847668
351	5.491813611
352	5.489314927
353	5.485711617
354	5.482228786
355	5.478414472
356	5.474686914
357	5.471994014
358	5.468922503
359	5.465889936
360	5.462343986
361	5.458969139
362	5.456600703
363	5.453668785
364	5.451579589
365	5.44782501
366	5.445029784
367	5.441788687
368	5.438189834
369	5.435897869
370	5.433429615
371	5.429848275
372	5.427380804
373	5.425383517
374	5.422587605
375	5.420152599
376	5.41780532
377	5.414302905
378	5.412449777
379	5.410654799
380	5.407749913
381	5.404191482
382	5.402081973
383	5.399976408
384	5.396899162
385	5.393928298
386	5.391752677
387	5.388969538
388	5.387333334
389	5.384590289
390	5.382274603
391	5.380189117
392	5.376991013
393	5.374984684
394	5.373568599
395	5.371210671
396	5.368643153
397	5.366068611
398	5.363690898
399	5.362701247
400	5.360755808
401	5.358140616
402	5.355657963
403	5.352780924
404	5.349672639
405	5.348099338
406	5.346228059
407	5.343150184
408	5.341574173
409	5.339338238
410	5.337853853
411	5.336368817
412	5.334184325
413	5.332057638
414	5.330418606
415	5.328265993
416	5.326199742
417	5.323784518
418	5.320623245
419	5.318558605
420	5.315976241
421	5.313979997
422	5.311506314
423	5.30910784
424	5.307544106
425	5.304647566
426	5.303430176
427	5.301189246
428	5.298933319
429	5.297200193
430	5.294677341
431	5.293124631
432	5.29184163
433	5.288793381
434	5.287023049
435	5.284734952
436	5.28281027
437	5.280693786
438	5.278755489
439	5.277574409
440	5.276067187
441	5.274041869
442	5.271575365
443	5.269858792
444	5.267529147
445	5.265051211
446	5.263704755
447	5.261616
448	5.259873495
449	5.258053975
450	5.255403026
451	5.253599792
452	5.25188757
453	5.249882265
454	5.248415258
455	5.247271083
456	5.246124217
457	5.243988627
458	5.24281815
459	5.241081153
460	5.239012348
461	5.237219534
462	5.236006122
463	5.234969138
464	5.233397223
465	5.23256551
466	5.232024321
467	5.230214877
468	5.228368907
469	5.226967356
470	5.225693481
471	5.224048548
472	5.222553331
473	5.220125765
474	5.218334947
475	5.21680639
476	5.215667047
477	5.213628343
478	5.211799453
479	5.210240103
480	5.208261987
481	5.207126156
482	5.206050753
483	5.204540385
484	5.203877596
485	5.202637306
486	5.201649714
487	5.199667011
488	5.198783494
489	5.196840592
490	5.195951532
491	5.194799355
492	5.193684043
493	5.192005796
494	5.190649012
495	5.189185355
496	5.188615237
497	5.187702212
498	5.185156322
499	5.183822181
500	5.182397121
501	5.181781198
502	5.180731619
503	5.179056712
504	5.177482843
505	5.176476917
506	5.174343335
507	5.172556713
508	5.171105423
509	5.169802994
510	5.168485625
511	5.167575867
512	5.166132558
513	5.165430039
514	5.163508252
515	5.161516243
516	5.161210876
517	5.159972944
518	5.159057221
519	5.15756414
520	5.155828857
521	5.153825492
522	5.152626793
523	5.151336151
