iter	Passed	Remaining
0	137	13613
1	139	6821
2	141	4565
3	142	3421
4	144	2741
5	145	2283
6	147	1959
7	149	1717
8	151	1530
9	153	1379
10	154	1252
11	156	1145
12	158	1058
13	159	979
14	161	912
15	162	853
16	164	802
17	165	755
18	167	712
19	168	674
20	169	639
21	171	607
22	172	577
23	173	550
24	174	524
25	175	500
26	176	477
27	177	457
28	179	438
29	180	420
30	181	403
31	182	386
32	182	371
33	183	356
34	184	342
35	185	329
36	186	317
37	187	305
38	187	293
39	188	282
40	189	272
41	190	263
42	191	253
43	191	244
44	192	235
45	193	227
46	194	219
47	195	211
48	195	203
49	196	196
50	196	189
51	197	182
52	198	175
53	198	169
54	199	163
55	200	157
56	200	151
57	201	145
58	201	140
59	202	135
60	203	129
61	203	124
62	204	119
63	204	115
64	205	110
65	205	106
66	206	101
67	206	97
68	207	93
69	207	89
70	208	85
71	208	81
72	209	77
73	209	73
74	210	70
75	211	66
76	211	63
77	212	59
78	212	56
79	213	53
80	213	50
81	214	47
82	214	43
83	215	40
84	215	38
85	216	35
86	216	32
87	216	29
88	217	26
89	217	24
90	218	21
91	218	19
92	219	16
93	219	14
94	220	11
95	220	9
96	221	6
97	221	4
98	221	2
99	222	0
