iter	Passed	Remaining
0	149	149275
1	149	74803
2	150	49953
3	150	37546
4	151	30103
5	151	25121
6	152	21617
7	152	18969
8	153	16900
9	153	15239
10	154	13878
11	155	12817
12	156	11906
13	157	11125
14	158	10430
15	159	9836
16	161	9314
17	162	8852
18	163	8433
19	164	8056
20	165	7713
21	166	7410
22	167	7129
23	168	6872
24	170	6631
25	171	6407
26	172	6204
27	173	6011
28	174	5826
29	175	5663
30	176	5503
31	176	5353
32	177	5214
33	178	5085
34	179	4959
35	180	4842
36	181	4732
37	182	4625
38	183	4520
39	184	4422
40	185	4327
41	185	4239
42	186	4153
43	187	4070
44	188	3992
45	188	3918
46	189	3846
47	190	3780
48	191	3712
49	191	3643
50	192	3576
51	192	3517
52	193	3461
53	194	3407
54	195	3354
55	195	3302
56	196	3252
57	197	3204
58	197	3157
59	198	3110
60	199	3067
61	199	3023
62	200	2979
63	200	2938
64	201	2899
65	202	2860
66	202	2822
67	203	2786
68	203	2750
69	204	2715
70	204	2681
71	205	2648
72	205	2615
73	206	2583
74	206	2552
75	207	2521
76	207	2493
77	208	2464
78	209	2436
79	209	2409
80	209	2381
81	210	2355
82	210	2327
83	211	2303
84	211	2279
85	212	2255
86	212	2233
87	213	2210
88	213	2188
89	214	2164
90	214	2143
91	215	2122
92	215	2100
93	215	2080
94	216	2060
95	216	2041
96	217	2022
97	217	2002
98	218	1985
99	218	1967
100	219	1950
101	219	1933
102	220	1916
103	220	1900
104	221	1885
105	221	1870
106	222	1854
107	222	1839
108	223	1824
109	223	1810
110	224	1795
111	224	1781
112	225	1767
113	225	1753
114	226	1740
115	226	1726
116	227	1714
117	227	1701
118	228	1689
119	228	1677
120	229	1665
121	229	1653
122	230	1641
123	230	1629
124	231	1618
125	231	1606
126	232	1595
127	232	1584
128	233	1573
129	233	1563
130	234	1552
131	234	1542
132	235	1532
133	235	1523
134	236	1513
135	236	1504
136	237	1494
137	237	1485
138	238	1475
139	238	1466
140	239	1457
141	239	1448
142	240	1438
143	240	1429
144	241	1421
145	241	1413
146	242	1404
147	242	1396
148	243	1388
149	243	1380
150	244	1372
151	244	1364
152	245	1356
153	245	1348
154	246	1341
155	246	1334
156	247	1326
157	247	1319
158	248	1311
159	248	1304
160	248	1297
161	249	1291
162	250	1284
163	250	1277
164	251	1270
165	251	1264
166	252	1257
167	252	1250
168	253	1244
169	253	1238
170	254	1231
171	254	1226
172	255	1219
173	255	1213
174	256	1207
175	256	1201
176	257	1196
177	257	1190
178	258	1183
179	258	1178
180	259	1172
181	259	1166
182	260	1161
183	260	1155
184	261	1150
185	261	1144
186	262	1139
187	262	1133
188	262	1128
189	263	1122
190	264	1118
191	264	1113
192	265	1109
193	265	1104
194	266	1099
195	266	1093
196	267	1089
197	267	1084
198	268	1079
199	268	1074
200	269	1069
201	269	1065
202	270	1060
203	270	1056
204	271	1051
205	271	1047
206	272	1043
207	272	1038
208	273	1034
209	273	1029
210	274	1025
211	274	1021
212	275	1016
213	275	1012
214	276	1008
215	276	1004
216	277	1000
217	277	996
218	278	992
219	278	988
220	279	984
221	279	980
222	280	976
223	280	972
224	281	968
225	281	964
226	282	960
227	282	957
228	283	953
229	283	949
230	283	945
231	284	941
232	284	937
233	285	934
234	285	930
235	286	926
236	286	923
237	287	919
238	287	916
239	288	912
240	288	909
241	289	905
242	289	902
243	290	899
244	290	896
245	291	892
246	291	889
247	292	886
248	292	882
249	293	879
250	293	875
251	294	872
252	294	869
253	295	866
254	295	863
255	295	860
256	296	857
257	296	853
258	297	850
259	297	847
260	298	844
261	298	841
262	299	838
263	299	835
264	300	832
265	300	829
266	301	826
267	301	824
268	302	821
269	302	818
270	303	815
271	303	812
272	304	810
273	304	807
274	305	804
275	305	801
276	306	798
277	306	796
278	307	793
279	307	790
280	308	788
281	308	785
282	309	783
283	309	780
284	310	777
285	310	775
286	311	772
287	311	770
288	312	767
289	312	765
290	313	762
291	313	760
292	313	757
293	314	754
294	314	752
295	315	749
296	315	747
297	316	744
298	316	742
299	317	740
300	317	737
301	318	735
302	318	733
303	319	730
304	319	728
305	320	725
306	320	723
307	321	721
308	321	719
309	322	717
310	322	714
311	323	712
312	323	710
313	323	707
314	324	705
315	324	703
316	325	701
317	325	699
318	326	696
319	326	694
320	327	692
321	327	690
322	328	688
323	328	686
324	329	683
325	329	681
326	330	679
327	330	677
328	331	675
329	331	673
330	332	671
331	332	669
332	333	667
333	333	665
334	334	663
335	334	661
336	335	659
337	335	657
338	336	655
339	336	653
340	337	651
341	337	649
342	338	647
343	338	645
344	338	643
345	339	641
346	339	639
347	340	637
348	340	635
349	341	633
350	341	632
351	342	630
352	342	628
353	343	626
354	343	624
355	344	622
356	344	620
357	345	618
358	345	617
359	346	615
360	346	613
361	347	611
362	347	610
363	348	608
364	348	606
365	349	604
366	349	603
367	350	601
